Organisation Name,Datafeed ID,% AVL to Timetables feed matching score,Latest matching report URL
Shoreline Suncruisers Ltd,6383,7.0,https://publish.bus-data.dft.gov.uk/org/390/dataset/avl/6383/download-matching-report/
Felix Taxis & Co.,6500,100.0,https://publish.bus-data.dft.gov.uk/org/201/dataset/avl/6500/download-matching-report/
Black Cat Travel Ltd,6532,15.0,https://publish.bus-data.dft.gov.uk/org/894/dataset/avl/6532/download-matching-report/
Panther Travel,6688,0.0,https://publish.bus-data.dft.gov.uk/org/133/dataset/avl/6688/download-matching-report/
South West Coaches,6815,4.0,https://publish.bus-data.dft.gov.uk/org/507/dataset/avl/6815/download-matching-report/
Aschrofts Travel,6816,56.0,https://publish.bus-data.dft.gov.uk/org/589/dataset/avl/6816/download-matching-report/
Vale Travel,6817,100.0,https://publish.bus-data.dft.gov.uk/org/264/dataset/avl/6817/download-matching-report/
Stewarts Coaches Ltd,6945,0.0,https://publish.bus-data.dft.gov.uk/org/412/dataset/avl/6945/download-matching-report/
GO-Coach Hire Ltd,6979,29.0,https://publish.bus-data.dft.gov.uk/org/329/dataset/avl/6979/download-matching-report/
Safeguard Coaches,7007,0.0,https://publish.bus-data.dft.gov.uk/org/242/dataset/avl/7007/download-matching-report/
Beestons,7134,17.0,https://publish.bus-data.dft.gov.uk/org/44/dataset/avl/7134/download-matching-report/
Stagecoach,7035,44.0,https://publish.bus-data.dft.gov.uk/org/15/dataset/avl/7035/download-matching-report/
Mikro coaches,7166,0.0,https://publish.bus-data.dft.gov.uk/org/798/dataset/avl/7166/download-matching-report/
Beeline Coaches,7185,0.0,https://publish.bus-data.dft.gov.uk/org/439/dataset/avl/7185/download-matching-report/
Arrow Taxi,7223,,
Greenslades Tours (Exeter) Ltd,7292,0.0,https://publish.bus-data.dft.gov.uk/org/895/dataset/avl/7292/download-matching-report/
TM Travel Ltd,7346,52.0,https://publish.bus-data.dft.gov.uk/org/69/dataset/avl/7346/download-matching-report/
Walsall Community Transport,7385,0.0,https://publish.bus-data.dft.gov.uk/org/307/dataset/avl/7385/download-matching-report/
Daniel Trent TA Dan's Coach Travel,7454,100.0,https://publish.bus-data.dft.gov.uk/org/892/dataset/avl/7454/download-matching-report/
York Pullman Bus Company,7501,100.0,https://publish.bus-data.dft.gov.uk/org/254/dataset/avl/7501/download-matching-report/
Taw & Torridge Coaches Ltd,7576,65.0,https://publish.bus-data.dft.gov.uk/org/512/dataset/avl/7576/download-matching-report/
Reptons Coaches,7654,0.0,https://publish.bus-data.dft.gov.uk/org/240/dataset/avl/7654/download-matching-report/
Transdev,7680,95.0,https://publish.bus-data.dft.gov.uk/org/2/dataset/avl/7680/download-matching-report/
Transdev,7681,91.0,https://publish.bus-data.dft.gov.uk/org/2/dataset/avl/7681/download-matching-report/
Grayscroft Coaches,7704,0.0,https://publish.bus-data.dft.gov.uk/org/96/dataset/avl/7704/download-matching-report/
Cuckmere Buses,7717,70.0,https://publish.bus-data.dft.gov.uk/org/41/dataset/avl/7717/download-matching-report/
Go-Ahead,7718,89.0,https://publish.bus-data.dft.gov.uk/org/10/dataset/avl/7718/download-matching-report/
Go-Ahead,7719,36.0,https://publish.bus-data.dft.gov.uk/org/10/dataset/avl/7719/download-matching-report/
Go-Ahead,7720,75.0,https://publish.bus-data.dft.gov.uk/org/10/dataset/avl/7720/download-matching-report/
Go-Ahead,7721,0.0,https://publish.bus-data.dft.gov.uk/org/10/dataset/avl/7721/download-matching-report/
Warrington’s Own Buses,7762,81.0,https://publish.bus-data.dft.gov.uk/org/26/dataset/avl/7762/download-matching-report/
Grant Palmer,7767,0.0,https://publish.bus-data.dft.gov.uk/org/108/dataset/avl/7767/download-matching-report/
Redwoods Travel,7798,50.0,https://publish.bus-data.dft.gov.uk/org/223/dataset/avl/7798/download-matching-report/
Reading Buses,7829,88.0,https://publish.bus-data.dft.gov.uk/org/7/dataset/avl/7829/download-matching-report/
